workspace,direction,force_n,torque_nm,elapsed_s,trial_elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_total_torque_nm,external_disturbance_torque_nm
ros2_pendulum_ws,positive,0.1000,0.040000,19.274,4.696,0.108792,-5.183755,-0.018362,0.784799308,-0.001973110,0.001898777,-2.064058,7,-0.013125668,-0.001731031,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.325,4.746,0.103335,-5.069192,-0.017747,0.784799376,-0.001863595,0.001803541,-2.027699,7,-0.012827037,-0.001678461,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.375,4.797,0.098196,-4.957118,-0.017907,0.784799436,-0.001749380,0.001713837,-1.992274,7,-0.012750675,-0.001632987,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.426,4.847,0.093361,-4.847510,-0.017513,0.784799490,-0.001648333,0.001629462,-1.957378,7,-0.012644067,-0.001597727,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.477,4.898,0.088806,-4.740336,-0.017132,0.784799538,-0.001552571,0.001549954,-1.922781,7,-0.012405464,-0.001560441,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.527,4.949,0.084514,-4.635553,-0.016792,0.784799582,-0.001463626,0.001475046,-1.889011,7,-0.011994036,-0.001502454,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.578,4.999,0.080467,-4.533113,-0.016669,0.784799621,-0.001377104,0.001404410,-1.855708,7,-0.012079375,-0.001475342,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.628,5.050,0.076656,-4.432976,-0.016433,0.784799656,-0.001297249,0.001337896,-1.823010,7,-0.011732609,-0.001439345,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.680,5.101,0.073066,-4.335103,-0.016120,0.784799687,-0.001222768,0.001275244,-1.790885,7,-0.011514085,-0.001401186,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,19.731,5.152,0.069680,-4.239456,-0.015677,0.784799715,-0.001153763,0.001216139,-1.758820,7,-0.011229744,-0.001370246,0.040000000
ros2_pendulum_ws,positive,0.2000,0.080000,20.828,0.010,0.029608,-2.656703,-0.009709,0.784799948,-0.000341633,0.000516762,-1.196955,7,-0.007003960,-0.000941510,0.080000000
