workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_assist_torque_nm
real_balance_only_noassist,8.469,85.084025,-31.651578,63.902903,0.576265802,-6.128604986,1.484996381,0.000000,6,41.036995650,0.000000000
real_balance_only_noassist,8.521,70.244134,-20.915082,96.319881,0.603550110,-4.430400167,1.225991427,0.000000,6,68.799915300,0.000000000
real_balance_only_noassist,8.572,60.566055,-9.915082,76.997581,0.613779322,-2.671431355,1.057077068,0.000000,6,59.669252383,0.000000000
real_balance_only_noassist,8.623,55.605720,1.304918,76.974717,0.618340386,-1.034366531,0.970502892,0.000000,6,54.740274459,0.000000000
real_balance_only_noassist,8.674,55.181122,12.084918,64.376575,0.617267721,0.450989274,0.963092268,0.000000,6,45.983267970,0.000000000
real_balance_only_noassist,8.724,59.008473,23.084918,32.671688,0.609730958,1.954466738,1.029892144,0.000000,6,23.336919870,0.000000000
real_balance_only_noassist,8.775,67.221599,34.084918,0.389260,0.593666888,3.512198291,1.173238226,0.000000,6,4.953988771,0.000000000
real_balance_only_noassist,8.827,84.096680,38.737926,-32.175031,0.673551450,7.758753763,1.467763951,0.000000,6,-22.982164680,0.000000000
real_balance_only_noassist,8.879,108.893421,35.311391,-64.573354,0.590420528,9.015030423,1.900548730,0.000000,6,-46.123824180,0.000000000
real_balance_only_noassist,8.930,133.732243,25.648165,-96.955221,0.426354717,8.735224398,2.334067964,0.000000,6,-69.253729230,0.000000000
real_balance_only_noassist,8.981,160.347348,14.648165,-129.127033,0.389836855,9.578349032,2.798589168,0.000000,6,-92.233595280,0.000000000
real_balance_only_noassist,9.032,-171.933738,3.648165,-161.415270,0.374068811,9.620116728,-3.000809819,0.000000,6,-115.296621330,0.000000000
real_balance_only_noassist,9.083,-145.546183,-7.351835,-193.645558,0.379727210,8.816084338,-2.540260114,0.000000,6,-133.701143430,0.000000000
real_balance_only_noassist,9.135,-122.627632,-18.351835,-196.890104,0.397622581,7.361990853,-2.140255925,0.000000,6,-140.635788450,0.000000000
real_balance_only_noassist,9.185,-104.541344,-29.351835,-164.726695,0.417293028,5.554643274,-1.824590656,0.000000,6,-122.223125850,0.000000000
real_balance_only_noassist,9.237,-91.704552,-39.000000,0.000000,0.443841764,3.972214751,-1.600546372,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,9.289,-83.233249,-39.000000,0.000000,0.457641375,2.179780635,-1.452694239,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,9.340,-80.126694,-38.988767,0.000000,0.460122507,0.330768434,-1.398474628,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,9.392,-82.236175,-38.939152,0.000000,0.454084072,-1.472646663,-1.435292023,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,9.443,-89.457131,-38.879321,0.000000,0.438239375,-3.245053894,-1.561321475,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,9.495,-101.621481,-38.528234,30.221342,0.408726995,-4.882982609,-1.773629433,0.000000,6,21.586672650,0.000000000
real_balance_only_noassist,9.547,-116.824299,-34.986030,62.740929,0.328201886,-5.312126576,-2.038968656,0.000000,6,44.814949500,0.000000000
real_balance_only_noassist,9.598,-130.409175,-25.200008,95.161781,0.231496192,-4.833898338,-2.276069485,0.000000,6,67.972701000,0.000000000
real_balance_only_noassist,9.650,-146.259481,-14.200008,127.769677,0.208413177,-5.964853800,-2.552709510,0.000000,6,91.264054800,0.000000000
real_balance_only_noassist,9.702,-164.605864,-3.200008,160.637962,0.190108415,-6.633817064,-2.872914303,0.000000,6,114.741401250,0.000000000
real_balance_only_noassist,9.754,176.093558,7.799992,193.223417,0.181687234,-6.722639762,3.073412374,0.000000,6,138.016726500,0.000000000
real_balance_only_noassist,9.806,157.562090,18.799992,197.042606,0.184030688,-6.211351185,2.749977248,0.000000,6,140.744718600,0.000000000
real_balance_only_noassist,9.857,141.390564,29.799992,164.560638,0.193491814,-5.189415334,2.467730877,0.000000,6,117.543313050,0.000000000
real_balance_only_noassist,9.909,126.276946,39.000000,0.000000,0.435463100,-8.295206486,2.203948469,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,9.961,103.043741,39.000000,0.000000,0.519117696,-7.336217536,1.798452546,0.000000,6,0.000000000,0.000000000
real_balance_only_noassist,10.013,85.352940,39.000000,0.000000,0.539409264,-5.366981432,1.489689836,0.000000,6,0.000000000,0.000000000
