workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,note
pendulum_real_ws,BALANCE,14.179,3.026710,-14.477441,-24.569725,0.793887475,1.552003662,0.052826060,-6.534784,7,-0.245697248,-135.772382716,-5.204128988,manual_A_near_upright
pendulum_real_ws,BALANCE,14.230,-1.435310,-17.178207,19.567199,0.784878160,-0.224320421,-0.025050879,-6.534784,7,0.195671988,-65.693425472,0.830554303,manual_A_near_upright
pendulum_real_ws,BALANCE,14.282,1.248676,-17.343284,4.217821,0.789819380,-1.130548849,0.021793503,-6.510902,7,0.042178214,150.000000000,3.519685553,manual_A_near_upright
pendulum_real_ws,BALANCE,14.341,0.533578,-12.344973,-7.838819,0.817995706,2.881523984,0.009312690,-6.510902,7,-0.078388190,-150.000000000,-4.585880560,manual_A_near_upright
pendulum_real_ws,BALANCE,14.395,-0.842396,-13.111991,25.940048,0.803289595,-2.152440842,-0.014702582,-6.479589,7,0.259400480,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,14.447,2.140658,-8.949041,-17.456388,0.785342975,0.451889147,0.037361532,-6.456025,7,-0.174563876,-0.745118917,-1.614172162,manual_A_near_upright
pendulum_real_ws,BALANCE,14.498,-1.232611,-8.316755,27.218910,0.787171794,0.784632886,-0.021513114,-6.456025,7,0.272189102,-150.000000000,-2.414016224,manual_A_near_upright
pendulum_real_ws,BALANCE,14.550,1.504442,-9.903512,12.837553,0.804594451,-2.232135392,0.026257458,-6.456025,7,0.128375530,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,14.602,1.460564,-6.339743,-1.044441,0.809870567,2.509883222,0.025491650,-6.431919,7,-0.010444410,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,14.654,-1.065219,-10.685945,43.248146,0.792804049,-1.420551198,-0.018591575,-6.409155,7,0.284517152,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,14.706,2.579072,-7.944960,0.852093,0.785575188,0.541447327,0.045013299,-6.409155,7,0.008520928,8.629561257,-1.935191290,manual_A_near_upright
pendulum_real_ws,BALANCE,14.758,-0.315260,-8.626790,14.935219,0.788926859,1.016464369,-0.005502320,-6.409155,7,0.149352192,-150.000000000,-3.227925539,manual_A_near_upright
pendulum_real_ws,BALANCE,14.810,0.421158,-11.606043,30.409853,0.802517440,-2.105234007,0.007350588,-6.409155,7,0.304098532,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,14.862,2.893454,-11.111798,6.213851,0.786037960,0.659207694,0.050500305,-6.386001,7,0.062138512,4.438465118,-2.336715996,manual_A_near_upright
pendulum_real_ws,BALANCE,14.913,-0.286574,-12.539591,22.718300,0.784897396,-0.159925502,-0.005001657,-6.361219,7,0.227183000,-78.319864613,0.534269061,manual_A_near_upright
pendulum_real_ws,BALANCE,14.965,1.034752,-14.191504,7.980732,0.808096341,-2.416626316,0.018059827,-6.361219,7,0.079807324,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,15.017,2.125103,-10.988661,-35.222393,0.794004801,1.539048138,0.037090051,-6.361219,7,-0.352223926,-150.000000000,-5.091859272,manual_A_near_upright
pendulum_real_ws,BALANCE,15.069,-1.059610,-13.749033,8.420255,0.784843147,-0.166018984,-0.018493687,-6.361219,7,0.084202554,-54.556413773,0.614482341,manual_A_near_upright
pendulum_real_ws,BALANCE,15.122,0.672399,-13.781004,-4.661214,0.798868985,-1.877232384,0.011735581,-6.339552,7,-0.046612144,150.000000000,5.954333516,manual_A_near_upright
pendulum_real_ws,BALANCE,15.173,1.907765,-10.083224,-19.085494,0.800863816,2.017505798,0.033296787,-6.339552,7,-0.190854942,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,15.224,-0.151489,-11.599076,24.011934,0.785197615,0.315827101,-0.002643976,-6.317699,7,0.240119336,-118.039982694,2.498244761,manual_A_near_upright
pendulum_real_ws,BALANCE,15.275,0.163062,-13.630325,38.535364,0.802031111,-2.075614397,0.002845964,-6.317699,7,0.385353642,150.000000000,4.590442453,manual_A_near_upright
pendulum_real_ws,BALANCE,15.327,2.204542,-10.965498,-5.196360,0.790344558,1.207785645,0.038476515,-6.272369,7,-0.051963602,-109.697608764,-4.038058383,manual_A_near_upright
pendulum_real_ws,BALANCE,15.379,-0.149027,-13.225524,9.785656,0.787609037,0.838207004,-0.002601012,-6.248856,7,0.097856558,-150.000000000,-2.670557859,manual_A_near_upright
pendulum_real_ws,BALANCE,15.431,-0.157164,-18.117681,23.666085,0.816876162,-2.831856191,-0.002743035,-6.248856,7,0.236660846,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,15.484,2.012209,-15.483806,-19.984287,0.816835894,2.840680411,0.035119673,-6.225646,7,-0.199842872,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,15.536,-1.869577,-21.120404,23.252182,0.791016806,-1.267447122,-0.032630278,-6.203929,7,0.232521816,146.731569763,4.202667041,manual_A_near_upright
pendulum_real_ws,BALANCE,15.589,0.971214,-18.611838,-20.114139,0.785371019,0.396040457,0.016950874,-6.203929,7,-0.201141386,43.024561689,-1.343608395,manual_A_near_upright
pendulum_real_ws,BALANCE,15.641,-1.872774,-18.387401,-7.269001,0.793891066,1.524849481,-0.032686075,-6.203929,7,-0.072690014,-150.000000000,-4.732431003,manual_A_near_upright
pendulum_real_ws,BALANCE,15.692,-1.073384,-20.370111,7.616409,0.813004353,-2.658627955,-0.018734086,-6.181207,7,0.076164090,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,15.743,-0.018869,-14.562475,-7.587765,0.812047709,2.609967919,-0.000329318,-6.181207,7,-0.075877646,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,15.795,-2.844380,-16.018685,36.080011,0.787195234,-0.848332365,-0.049643797,-6.159105,7,0.360800106,37.481525497,2.938060655,manual_A_near_upright
pendulum_real_ws,BALANCE,15.848,-0.019107,-14.690401,20.680768,0.791973344,-1.339156979,-0.000333486,-6.159105,7,0.206807680,150.000000000,4.286803019,manual_A_near_upright
pendulum_real_ws,BALANCE,15.899,-0.301728,-11.147527,6.630983,0.815130364,2.753897458,-0.005266147,-6.136747,7,0.066309826,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,15.951,-1.444290,-14.910917,22.103462,0.799226182,-1.907278522,-0.025207614,-6.136747,7,0.221034620,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,16.004,1.155581,-12.924281,-21.564900,0.784733201,-0.057024765,0.020168694,-6.114068,7,-0.367059068,-102.209471722,-3.199198107,manual_A_near_upright
pendulum_real_ws,BALANCE,16.056,-1.091698,-10.631906,-7.633430,0.800357776,1.976676690,-0.019053717,-6.114068,7,-0.076334298,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,16.107,-0.421901,-12.513242,6.771295,0.811219197,-2.570497803,-0.007363569,-6.091211,7,0.067712948,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,16.160,1.248238,-7.918031,-36.120110,0.788316847,0.949995320,0.021785855,-6.069268,7,-0.361201104,-118.211954871,-3.138021373,manual_A_near_upright
pendulum_real_ws,BALANCE,16.212,-2.702471,-8.576491,8.196335,0.787522662,-0.888689068,-0.047167023,-6.069268,7,0.081963352,-2.365196492,3.056056618,manual_A_near_upright
pendulum_real_ws,BALANCE,16.264,0.711566,-5.871458,-7.507004,0.785688614,-0.479289862,0.012419174,-6.046961,7,-0.075070042,135.340471782,1.477841278,manual_A_near_upright
pendulum_real_ws,BALANCE,16.317,-0.431634,-1.099357,-19.100942,0.817809367,2.873173409,-0.007533443,-6.046961,7,-0.191009417,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,16.370,-1.519482,-3.427111,-5.267446,0.807546746,-2.391899196,-0.026519961,-6.023976,7,-0.052674465,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,16.422,1.545016,-0.356849,-21.431037,0.785025166,0.303241952,0.026965614,-6.023976,7,-0.214310373,24.484979549,-1.091719508,manual_A_near_upright
